State,Representatives,TotalPct
California,53,12.15
Florida,27,6.38
New York,27,6.11
Illinois,18,3.96
Pennsylvania,18,3.96
Ohio,16,3.59
Georgia,14,3.19
North Carolina,13,3.14
Michigan,14,3.07
New Jersey,12,2.77
Virginia,11,2.6
Washington,10,2.26
Arizona,9,2.15
Massachusetts,9,2.11
Tennessee,9,2.06
Indiana,9,2.05
Missouri,8,1.89
Maryland,8,1.86
Wisconsin,8,1.79
Colorado,7,1.72
Minnesota,8,1.71
South Carolina,7,1.54
Alabama,7,1.51
Louisiana,6,1.45
Kentucky,6,1.37
Oregon,5,1.27
Oklahoma,5,1.21
Connecticut,5,1.11
Iowa,4,0.97
Utah,4,0.94
Mississippi,4,0.93
Arkansas,4,0.93
Nevada,4,0.91
Kansas,4,0.9
New Mexico,3,0.64
Nebraska,3,0.59
West Virginia,3,0.57
Idaho,2,0.52
Hawaii,2,0.44
New Hampshire,2,0.41
Maine,2,0.41
Rhode Island,2,0.33
Montana,1,0.32
Delaware,1,0.3
South Dakota,1,0.27
North Dakota,1,0.24
Alaska,1,0.23
Vermont,1,0.19
Wyoming,1,0.18
